Position,Artist Name,Song Name,Days,Peak Position,Total Streams
7251,Big Sean ,Friday Night Cypher,2,69,683514
7252,Migos ,Dab of Ranch  Recorded at Spotify Studios NYC,4,148,683370
7253,G,Eazy  Legend,3,162,683055
7254,Playboi Carti ,Not PLaying,2,149,682480
7255,Trans,Siberian Orchestra  Christmas Canon,2,171,681255
7256,Miley Cyrus ,Party Up The Street,2,65,680881
7257,Nio Garcia ,La Jeepeta  Remix,3,159,680311
7258,Gunna ,Cash War,2,85,679367
7259,A$AP Rocky ,Sandman,2,51,678884
7260,Rihanna ,James Joint,5,106,678421
7261,The 1975 ,If You’re Too Shy (Let Me Know)  Edit,2,51,678288
7262,Summer Walker ,Screwin,2,60,678055
7263,Pretenders ,2000 Miles  2007 Remaster,2,169,677972
7264,Future ,Moment of Clarity,2,64,677266
7265,Rap Nation ,Star Shopping,3,161,677169
7266,YG ,10 TIMES,2,76,676983
7267,DJ Khaled ,I Love You so Much,2,52,676480
7268,Rod Wave ,Gone Till November,2,53,676287
7269,Kevin Gates ,Money Long,3,151,675386
7270,Future ,Afterlife,2,84,674738
7271,YoungBoy Never Broke Again ,RIP Lil Phat,2,77,674526
7272,Dustin Lynch ,Thinking 'Bout You,3,177,674401
7273,Calvin Harris ,Holiday,3,90,674385
7274,Twenty One Pilots ,Never Take It,2,76,674102
7275,Roddy Ricch ,Out Tha Mud,3,175,673860
7276,Kehlani ,Hate The Club,2,70,673306
7277,Miley Cyrus ,Cattitude,2,64,673212
7278,TOOL ,Descending,2,91,672341
7279,Calvin Harris ,New Money,2,44,672098
7280,Justin Timberlake ,Flannel,3,105,672077
7281,Moneybagg Yo ,Free Promo,3,126,672072
7282,Melanie Martinez ,Drama Club,3,157,671412
7283,Nirvana ,Smells Like Teen Spirit  Remastered 2021,3,179,671396
7284,Baby Keem ,scapegoats,2,64,670955
7285,ScHoolboy Q ,Die Wit Em,2,76,670692
7286,$uicideboy$ ,Life Is but a Stream~,2,52,670478
7287,Ski Mask The Slump God ,The Matrix,2,77,670380
7288,Playboi Carti ,Long Time  Intro,2,66,670259
7289,Tom Walker ,Just You and I,3,174,670073
7290,Rae Sremmurd ,Up In My Cocina,2,65,669825
7291,A Boogie Wit da Hoodie ,Skeezers,2,122,669799
7292,Zac Brown Band ,Knee Deep,3,148,669524
7293,Murda Beatz ,Banana Split,3,174,669155
7294,Offset ,Made Men,2,96,669141
7295,Rod Wave ,Never Get Over Me,2,46,668922
7296,The Lumineers ,A.M. RADIO,2,56,668811
7297,Luke Combs ,Used To Wish I Was,2,58,668786
7298,Polo G ,Start Up Again,2,75,668264
7299,Bastille ,Good Grief,5,99,667136
7300,Lil Baby ,Consistent,2,80,667134
7301,Eminem ,Favorite Bitch,2,98,666943
7302,BROCKHAMPTON ,BUZZCUT,2,101,666885
7303,Eminem ,Guns Blazing,2,102,666856
7304,ODESZA ,Falls,3,79,666714
7305,Ozzy Osbourne ,It's A Raid,2,78,666625
7306,Logic ,Innermission,6,130,666036
7307,Future ,Rich $ex,8,126,665729
7308,Logic ,Legacy,2,102,665682
7309,Lennon Stella ,La Di Da,3,184,665627
7310,Migos ,Culture National Anthem  Outro,2,83,665486
7311,Lil Baby ,Catch The Sun,2,86,665458
7312,XXXTENTACION ,School Shooters,2,89,665231
7313,Justin Timberlake ,Montana,3,109,665055
7314,Big Sean ,Stay Down,7,73,664487
7315,Mitski ,"Valentine, Texas",2,47,664286
7316,XXXTENTACION ,Slipknot,2,79,664231
7317,Norah Jones ,It's Not Christmas 'Til You Come Home  Recorded At Spotify Studios NYC,2,176,663318
